date,sales
2021-01-31,10524.32
2021-02-28,9876.45
2021-03-31,11234.67
2021-04-30,11789.23
2021-05-31,12456.78
2021-06-30,13234.56
2021-07-31,12890.34
2021-08-31,13567.89
2021-09-30,14123.45
2021-10-31,13890.12
2021-11-30,15234.67
2021-12-31,16789.23
2022-01-31,11234.56
2022-02-28,10567.89
2022-03-31,12345.67
2022-04-30,13456.78
2022-05-31,14567.89
2022-06-30,15678.90
2022-07-31,15234.56
2022-08-31,16345.67
2022-09-30,17456.78
2022-10-31,17123.45
2022-11-30,19234.56
2022-12-31,21345.67
2023-01-31,12345.67
2023-02-28,11678.90
2023-03-31,13789.01
2023-04-30,14890.12
2023-05-31,16012.34
2023-06-30,17234.56
2023-07-31,16890.12
2023-08-31,18012.34
2023-09-30,19234.56
2023-10-31,18901.23
2023-11-30,21234.56
2023-12-31,23456.78
2024-01-31,13456.78
2024-02-29,12789.01
2024-03-31,14901.23
2024-04-30,16123.45
2024-05-31,17345.67
2024-06-30,18567.89
2024-07-31,18234.56
2024-08-31,19456.78
2024-09-30,20678.90
2024-10-31,20345.67
2024-11-30,22567.89
2024-12-31,24789.01
